Wavelength (nm),CD (mdeg),1,2,3,Label
228.8,-46.1942,0.161454,252.099,0.000192826,PDN15
228.6,-46.9851,0.165136,252.521,0.000201464,PDN15
228.4,-47.7348,0.169223,252.997,0.000197401,PDN15
228.2,-48.545,0.173022,253.416,0.000193942,PDN15
228,-49.4563,0.177385,253.867,0.000191788,PDN15
227.8,-50.1607,0.18089,254.262,0.00018916,PDN15
227.6,-51.0726,0.185062,254.719,0.000194202,PDN15
227.4,-51.7761,0.188475,255.13,0.000193231,PDN15
227.2,-52.4887,0.192406,255.539,0.000193298,PDN15
227,-53.1098,0.196513,255.955,0.000186805,PDN15
226.8,-53.7537,0.20017,256.322,0.000189387,PDN15
226.6,-54.2413,0.204066,256.72,0.000191381,PDN15
226.4,-54.7412,0.207879,257.125,0.000192308,PDN15
226.2,-55.23,0.211451,257.482,0.000193187,PDN15
226,-55.6832,0.215746,257.901,0.000196745,PDN15
225.8,-56.1024,0.220392,258.367,0.000190509,PDN15
225.6,-56.5947,0.224786,258.81,0.000187826,PDN15
225.4,-57.0707,0.229019,259.242,0.00018641,PDN15
225.2,-57.5358,0.233142,259.666,0.000178995,PDN15
225,-57.9213,0.237293,260.1,0.000178216,PDN15
224.8,-58.3385,0.241883,260.554,0.000181562,PDN15
224.6,-58.6723,0.245905,260.937,0.000180914,PDN15
224.4,-59.0249,0.250207,261.386,0.000177258,PDN15
224.2,-59.4032,0.254738,261.833,0.000178345,PDN15
224,-59.6552,0.259283,262.283,0.000184647,PDN15
223.8,-60.053,0.263761,262.732,0.000177179,PDN15
223.6,-60.1379,0.268507,263.201,0.000180342,PDN15
223.4,-60.2724,0.272696,263.616,0.000188121,PDN15
223.2,-60.5254,0.277487,264.086,0.000187216,PDN15
223,-60.6994,0.282181,264.571,0.000188934,PDN15
222.8,-60.8271,0.286915,265.064,0.000189546,PDN15
222.6,-60.9484,0.292905,265.655,0.000191941,PDN15
222.4,-61.0431,0.299145,266.272,0.000192801,PDN15
222.2,-60.9549,0.304692,266.826,0.000187217,PDN15
222,-61.005,0.310328,267.399,0.000179086,PDN15
221.8,-61.0494,0.31597,267.986,0.000173788,PDN15
221.6,-61.122,0.321136,268.506,0.000162949,PDN15
221.4,-61.0823,0.326496,269.041,0.00015458,PDN15
221.2,-60.9909,0.332811,269.66,0.000151873,PDN15
221,-61.0225,0.339286,270.292,0.000147207,PDN15
220.8,-60.9164,0.345638,270.91,0.00014446,PDN15
220.6,-60.841,0.352072,271.545,0.000155946,PDN15
220.4,-60.8114,0.358536,272.177,0.000155953,PDN15
220.2,-60.7649,0.365961,272.88,0.00015411,PDN15
