Time,Temperature (°C),Heat Flow (Normalized)(W/g),Label
31.13,115.07,0.301228,Control
31.1317,115.062,0.301229,Control
31.1333,115.054,0.301228,Control
31.135,115.045,0.301234,Control
31.1367,115.037,0.301244,Control
31.1383,115.029,0.301257,Control
31.14,115.021,0.301269,Control
31.1417,115.012,0.301285,Control
31.1433,115.004,0.301314,Control
31.145,114.996,0.301344,Control
31.1467,114.987,0.301368,Control
31.1483,114.979,0.301387,Control
31.15,114.97,0.301396,Control
31.1517,114.963,0.301399,Control
31.1533,114.954,0.301402,Control
31.155,114.945,0.301411,Control
31.1567,114.937,0.301425,Control
31.1583,114.929,0.301444,Control
31.16,114.92,0.301467,Control
31.1617,114.913,0.301489,Control
31.1633,114.904,0.301515,Control
31.165,114.894,0.301531,Control
31.1667,114.887,0.301543,Control
31.1683,114.88,0.301555,Control
31.17,114.87,0.30156,Control
31.1717,114.863,0.301568,Control
31.1733,114.854,0.301581,Control
31.175,114.846,0.301583,Control
31.1767,114.837,0.301586,Control
31.1783,114.829,0.301594,Control
31.18,114.821,0.301601,Control
31.1817,114.813,0.301617,Control
31.1833,114.804,0.301633,Control
31.185,114.796,0.301645,Control
31.1867,114.788,0.301667,Control
31.1883,114.78,0.301686,Control
31.19,114.771,0.301706,Control
31.1917,114.763,0.301729,Control
31.1933,114.754,0.301751,Control
31.195,114.747,0.301771,Control
31.1967,114.737,0.30179,Control
31.1983,114.73,0.301798,Control
31.2,114.721,0.3018,Control
31.2017,114.712,0.301801,Control
31.2033,114.705,0.301803,Control
31.205,114.696,0.301811,Control
31.2067,114.688,0.301819,Control
31.2083,114.679,0.301825,Control
31.21,114.672,0.301832,Control
31.2117,114.663,0.30184,Control
31.2133,114.656,0.301846,Control
31.215,114.646,0.301852,Control
31.2167,114.639,0.301858,Control
31.2183,114.63,0.301859,Control
31.22,114.621,0.301858,Control
31.2217,114.613,0.301863,Control
31.2233,114.604,0.301882,Control
31.225,114.596,0.301898,Control
31.2267,114.589,0.301912,Control
31.2283,114.58,0.301928,Control
31.23,114.572,0.301943,Control
31.2317,114.563,0.301947,Control
31.2333,114.555,0.301949,Control
31.235,114.547,0.301949,Control
31.2367,114.538,0.301948,Control
31.2383,114.53,0.301946,Control
31.24,114.522,0.301946,Control
31.2417,114.513,0.301956,Control
31.2433,114.505,0.301973,Control
31.245,114.496,0.301997,Control
31.2467,114.488,0.302017,Control
31.2483,114.481,0.302041,Control
31.25,114.472,0.302058,Control
31.2517,114.463,0.30207,Control
31.2533,114.455,0.302072,Control
31.255,114.446,0.302061,Control
31.2567,114.438,0.302051,Control
31.2583,114.43,0.302044,Control
31.26,114.422,0.30204,Control
31.2617,114.415,0.302044,Control
31.2633,114.406,0.302058,Control
31.265,114.397,0.302078,Control
31.2667,114.388,0.302096,Control
31.2683,114.38,0.302107,Control
31.27,114.371,0.302117,Control
31.2717,114.363,0.302125,Control
31.2733,114.355,0.302131,Control
31.275,114.347,0.302134,Control
31.2767,114.339,0.302142,Control
31.2783,114.331,0.302156,Control
31.28,114.322,0.30217,Control
31.2817,114.314,0.302196,Control
31.2833,114.306,0.302226,Control
31.285,114.298,0.302259,Control
31.2867,114.29,0.302289,Control
31.2883,114.28,0.302308,Control
31.29,114.272,0.302323,Control
31.2917,114.264,0.302333,Control
31.2933,114.256,0.302341,Control
31.295,114.248,0.30235,Control
31.2967,114.24,0.302358,Control
31.2983,114.231,0.30236,Control
31.3,114.223,0.302358,Control
31.3017,114.214,0.302354,Control
31.3033,114.206,0.302359,Control
31.305,114.197,0.302368,Control
31.3067,114.19,0.302375,Control
31.3083,114.181,0.302387,Control
31.31,114.174,0.302399,Control
31.3117,114.164,0.30241,Control
31.3133,114.155,0.302427,Control
31.315,114.147,0.302444,Control
31.3167,114.14,0.302457,Control
31.3183,114.13,0.30247,Control
31.32,114.122,0.302475,Control
31.3217,114.115,0.302476,Control
31.3233,114.107,0.302476,Control
31.325,114.099,0.302485,Control
31.3267,114.09,0.302499,Control
31.3283,114.082,0.302515,Control
31.33,114.074,0.302526,Control
31.3317,114.065,0.302537,Control
31.3333,114.057,0.302549,Control
31.335,114.049,0.302561,Control
31.3367,114.039,0.302574,Control
31.3383,114.031,0.30258,Control
31.34,114.023,0.302577,Control
31.3417,114.015,0.302569,Control
31.3433,114.006,0.302567,Control
31.345,113.998,0.302569,Control
31.3467,113.989,0.302573,Control
31.3483,113.981,0.302575,Control
31.35,113.974,0.302579,Control
31.3517,113.965,0.30259,Control
31.3533,113.957,0.302609,Control
31.355,113.947,0.302633,Control
31.3567,113.94,0.302667,Control
31.3583,113.932,0.302698,Control
31.36,113.923,0.302726,Control
31.3617,113.915,0.302748,Control
31.3633,113.907,0.302771,Control
31.365,113.898,0.30279,Control
31.3667,113.89,0.302807,Control
31.3683,113.882,0.302818,Control
31.37,113.874,0.302819,Control
31.3717,113.865,0.302818,Control
31.3733,113.857,0.302817,Control
31.375,113.849,0.302817,Control
31.3767,113.839,0.302816,Control
31.3783,113.831,0.302812,Control
31.38,113.824,0.302809,Control
31.3817,113.815,0.302816,Control
31.3833,113.808,0.302823,Control
31.385,113.799,0.302837,Control
31.3867,113.79,0.302848,Control
31.3883,113.782,0.302856,Control
31.39,113.774,0.302862,Control
31.3917,113.766,0.302864,Control
31.3933,113.756,0.302866,Control
31.395,113.748,0.302861,Control
31.3967,113.741,0.302859,Control
