5U4Y,PDN11,PDN12,PDN13,PDN14,PDN15,PDN16,PDN17,PDN18,PDN19,PDN20,PDN21,PDN22,PDN23,PDN24
-115.50324,-108.1311018,-3.27118,-0.592689054,-107.9241241,-5.84627,-20.16667592,-95.57305,-111.1435168,-96.79559,-105.0511084,-89.55253886,-113.195408,-107.4526812,-3.83366295
-104.42242,-90.03793576,-84.99062,1.93658113,-103.9511787,0.42119,-15.78683153,-98.2846,-123.7172079,-98.58561,-114.5603461,-89.60143531,-104.8097664,-107.4534599,-7.470222044
1.17489,-99.96182403,-88.35914,0.366615333,-101.6376453,1.27226,-15.47474768,-5.72015,-120.0895877,-98.34393,-103.7254441,-90.35830432,-118.812718,-1.222435182,-7.389164745
2.11886,-91.10480468,-84.60238,-1.910719895,-90.39219692,-6.14772,-19.76918575,0.34825,-11.5284523,-89.5936,-101.6679034,-95.06791468,-98.18845169,-2.895065902,1.599818662
0.42472,-102.1494181,-84.23733,-3.429774487,-91.29977437,-1.59541,-13.49737026,-2.90308,-116.7033134,-94.18436,-101.2343542,-96.69639252,-110.5833753,-8.380021397,-1.689420056
-0.85487,-102.5244458,-90.97873,-0.498175821,-99.33520531,-7.49545,-19.06240271,-4.60008,-98.9765549,-90.61467,-99.02970413,-92.40840974,-96.53657811,-7.216633783,-13.78681897
-0.55407,-99.98077542,-94.83236,-90.54326245,-105.0344077,-1.06835,-18.7235122,-8.24326,-114.8821794,-103.46815,-108.5043233,-93.52057721,-90.47416819,-3.704111631,-2.441322351
-102.51783,-88.3030101,-95.14257,-91.79040837,-96.79230533,1.67555,-12.53515129,-7.88627,-113.663195,-97.48031,-105.1756429,-90.61239362,-98.91954627,-95.12753964,-1.450759125
-105.70405,-95.92588466,-89.76605,-1.514554036,-98.01882858,0.6433,-16.2341575,-5.50037,-114.1493991,-95.36382,-116.4211332,-98.26588006,-108.0842406,-105.1843738,-9.870045839
-110.58338,-101.6469504,-96.56287,-86.48887726,-103.5755681,-2.97769,-102.6459493,-6.77945,-124.6607806,-103.63401,-108.3941224,-94.89622626,-4.735784854,-107.2791434,-2.338968115
-1.94702,-95.85287521,-4.49748,-93.17306724,-107.2266087,-1.94733,-106.9940413,-10.28201,-115.5935167,-7.27692,-116.827411,-84.57214069,-4.230240744,-99.84972601,-1.998119292
-111.32574,-92.65771021,-11.41094,-100.6489802,-103.9732284,-3.39043,-96.22766264,-7.4851,-113.4862082,-2.525,-106.6725701,-82.8688558,-3.057737243,-2.188560663,2.021389386
-112.18876,-3.229744207,-14.06286,-86.47325764,-105.9138849,-82.93882,-103.9861667,-107.28856,-118.0272328,-0.68005,-102.1531716,-101.4119609,0.569086589,0.981154062,2.458611233
-112.44275,-5.021482698,-14.65075,-97.26118587,-99.45884695,-85.21783,-92.30078506,-90.97132,-119.6573384,1.50659,-109.3182139,2.199990669,-0.277236207,2.850034336,-1.104357378
